兵种id	部队类型	部队等级	部队名称	部队图片	攻击	生命	防御	训练消耗资源012345	训练时间(秒)	维护消耗粮食	每个单位增加战力	每个单位的负载能力	克制哪个兵种	被哪个兵种克制	通过一个格子花费时间	战斗星级	防御星级	生命星级	速度星级	解锁科技	治疗占训练时间的百分比
sid	type	level	name		act	life	def	costs	cd	charge	addPoint	loaded	abnegate		moveSpeed						
sid	type	level	name	image	act	life	def	costs	cd	charge	addPoint	loaded	abnegate	abnegated	moveSpeed	attack	defense	life	speed	unlock	remedyCDRate
INT	INT	INT	string	string	INT	INT	INT	ints	INT	INT	INT	INT	INTS	INTS	INT	INT	INT	INT	INT	INT	INT
1001	1	1	轻步兵	bing1.png	10	10	1	0|0|50|50|0|38	15	1	2	7	3|4	2|5	11	1	1	1	4	-1	10
1002	1	2	重步兵	bing2.png	20	20	2	0|5|100|100|0|75	30	2	8	9	3|4	2|5	11	2	2	2	3	11801	20
1003	1	3	重枪兵	bing3.png	40	40	4	0|10|150|150|0|112	60	3	24	12	3|4	2|5	11	3	3	3	2	12401	30
1004	1	4	勇士	bing4.png	80	80	8	0|15|200|200|0|224	120	4	36	20	3|4	2|5	11	4	4	4	0	13001	40
2001	2	1	短弓兵	bing5.png	10	10	1	0|0|50|50|50|0	15	1	2	6	1|4	3|5	13	1	1	1	4	-1	10
2002	2	2	弓箭手	bing6.png	20	20	2	0|5|100|100|100|0	30	2	8	8	1|4	3|5	13	2	2	2	3	11901	20
2003	2	3	长弓手	bing7.png	40	40	4	0|10|150|150|150|0	60	3	24	10	1|4	3|5	13	3	3	3	2	12501	30
2004	2	4	神射手	bing8.png	80	80	8	0|15|200|200|200|0	120	4	36	15	1|4	3|5	13	4	4	4	1	13101	40
3001	3	1	侍卫	bing9.png	10	10	1	0|0|50|0|50|38	15	1	2	5	2|4	1|5	10	1	1	1	4	-1	10
3002	3	2	轻骑兵	bing10.png	20	20	2	0|5|100|0|100|75	30	2	8	7	2|4	1|5	10	2	2	2	4	12001	20
3003	3	3	重骑兵	bing11.png	40	40	4	0|10|150|0|150|112	60	3	24	9	2|4	1|5	10	3	3	3	3	12601	30
3004	3	4	铁骑	bing12.png	80	80	8	0|15|200|0|200|224	120	4	36	12	2|4	1|5	10	4	4	4	2	13201	40
4001	4	1	云梯	bing13.png	10	10	1	0|0|100|50|50|38	20	1	4	8	5	1|2|3	15	1	1	1	3	-1	10
4002	4	2	弩车	bing14.png	20	20	2	0|5|150|100|100|75	40	2	16	10	5	1|2|3	15	2	2	2	3	12101	20
4003	4	3	抛石机	bing15.png	40	40	4	0|10|150|150|150|115	80	3	36	15	5	1|2|3	15	3	3	3	1	12701	30
4004	4	4	破城锤	bing16.png	80	80	8	0|15|200|200|200|225	160	4	48	30	5	1|2|3	15	4	4	4	0	13301	40
