BOSS ID	BOSS名称	boss类型	等级	BOSS头像	BOSS动画	BOSS攻击	BOSS防御	BOSS血量	BOSS战斗力	掉落道具ID	掉落道具权重	掉落道具数量	半径1权重	半径2权重	半径3权重	半径4权重	半径5权重	半径6权重	BOSS个数	奖励资源012345	消耗体力	血量0-20道具	血量21-40道具	血量41-50道具	血量51-60道具	血量61-80道具	血量81-100道具	击杀必掉道具	礼包类型	文字描述
sid	name	type	level			attack	defance	maxLife	power				radius1	radius2	radius3	radius4	radius5	radius6	countMax	award	bodyForce	ambit20	ambit40	ambit50	ambit60	ambit80	ambit100	killProp	leagueGift	
sid	name	type	level	headPic	animation	attack	defance	maxLife	power	propSids	propRates	propNums	radius1	radius2	radius3	radius4	radius5	radius6	countMax	awards	bodyForce	ambit20	ambit40	ambit50	ambit60	ambit80	ambit100	killProp	leagueGift	desc
int	string	int	int	string	int	int	int	int	int	ints	ints	ints	int	int	int	int	int	int	int	int	int	ints	ints	ints	ints	ints	ints	int	int	string
10001	圣诞麋鹿 Lv.1	0	1	shengdanlu.png	110001	600000	80000	600000	160000	-1	-1	-1	0	0	0	0	200	400	0	24000	20	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	圣诞麋鹿 Lv.1
10002	圣诞麋鹿 Lv.2	0	2	shengdanlu.png	110001	1125000	150000	1125000	300000	-1	-1	-1	0	0	0	100	300	100	0	60000	30	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	圣诞麋鹿 Lv.2
10003	圣诞麋鹿 Lv.3	0	3	shengdanlu.png	110001	3600000	360000	3600000	1920000	-1	-1	-1	0	0	200	400	0	0	0	120000	40	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	圣诞麋鹿 Lv.3
10004	圣诞麋鹿 Lv.4	0	4	shengdanlu.png	110001	7200000	720000	7200000	3840000	-1	-1	-1	0	200	400	200	0	0	0	180000	50	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	圣诞麋鹿 Lv.4
10005	圣诞麋鹿 Lv.5	0	5	shengdanlu.png	110001	30000000	3000000	30000000	18000000	-1	-1	-1	0	400	100	0	0	0	0	360000	60	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	圣诞麋鹿 Lv.5
10006	圣诞麋鹿 Lv.6	0	6	shengdanlu.png	110001	48000000	4800000	48000000	28800000	-1	-1	-1	100	0	0	0	0	0	0	600000	70	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	圣诞麋鹿 Lv.6
10101	年兽 Lv.1	0	1	nianshou.png	110101	600000	80000	600000	160000	-1	-1	-1	0	0	0	0	200	400	0	24000	20	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	年兽 Lv.1
