主基地等级	单独一支部队的上限兵力	可以派出几支部队	可以被几个工会成员帮助	礼包的道具id	被战胜获得帮贡	抓获英雄概率
	soldierMax	troopMax	helpMeCount	giftSid	leagueCost	catchRate
level	soldierMax	troopMax	helpMeCount	giftSid		
INT	INT	INT	INT	INT	INT	INT
1	2000	1	5	24301	0	0
2	5000	1	6	24302	0	0
3	10000	1	7	24303	0	0
4	15000	1	8	24304	0	0
5	20000	1	9	24305	0	0
6	25000	2	10	24306	0	0
7	30000	2	11	24307	0	0
8	35000	2	12	24308	0	0
9	40000	2	13	24309	0	0
10	45000	2	14	24310	0	50
11	50000	3	15	24311	0	50
12	60000	3	16	24312	0	50
13	70000	3	17	24313	0	50
14	80000	3	18	24314	0	50
15	90000	3	19	24315	0	50
16	100000	4	20	24316	0	50
17	125000	4	21	24317	0	50
18	150000	4	22	24318	0	50
19	175000	4	23	24319	0	50
20	200000	4	24	24320	0	50
21	250000	5	25	24321	0	50
