建筑id	建筑等级	生产存储资源类型	资源容量	资源产量/hour
buildsid	level	type	max	resCount
buildsid	level	type	max	resCount
INT	INT	INT	INT	INT
1002	1	2	2500	50
1002	2	2	7500	150
1002	3	2	15000	300
1002	4	2	25000	500
1002	5	2	37500	750
1002	6	2	52500	1050
1002	7	2	87500	1400
1002	8	2	127500	1800
1002	9	2	172500	2250
1002	10	2	222500	2750
1002	11	2	277500	3300
1002	12	2	337500	3900
1002	13	2	402500	4550
1002	14	2	507500	5250
1002	15	2	620000	6000
1002	16	2	740000	6800
1002	17	2	867500	7650
1002	18	2	1002500	8550
1002	19	2	1145000	9500
1002	20	2	1295000	10500
1002	21	2	1505000	21000
1003	1	3	2000	40
1003	2	3	6000	120
1003	3	3	12000	240
1003	4	3	20000	400
1003	5	3	30000	600
1003	6	3	42000	840
1003	7	3	70000	1120
1003	8	3	102000	1440
1003	9	3	138000	1800
1003	10	3	178000	2200
1003	11	3	222000	2640
1003	12	3	270000	3120
1003	13	3	322000	3640
1003	14	3	406000	4200
1003	15	3	496000	4800
1003	16	3	592200	5440
1003	17	3	694000	6120
1003	18	3	802000	6840
1003	19	3	916000	7600
1003	20	3	1036000	8400
1003	21	3	1204000	16800
1004	1	5	1500	30
1004	2	5	4500	90
1004	3	5	9000	180
1004	4	5	15000	300
1004	5	5	22500	450
1004	6	5	31500	630
1004	7	5	52500	840
1004	8	5	76500	1080
1004	9	5	103500	1350
1004	10	5	133500	1650
1004	11	5	165000	1980
1004	12	5	202500	2340
1004	13	5	241500	2730
1004	14	5	304500	3150
1004	15	5	372000	3600
1004	16	5	444000	4080
1004	17	5	525000	4590
1004	18	5	601500	5130
1004	19	5	687000	5700
1004	20	5	777000	6300
1004	21	5	903000	12600
1005	1	4	2000	40
1005	2	4	6000	120
1005	3	4	12000	240
1005	4	4	20000	400
1005	5	4	30000	600
1005	6	4	42000	840
1005	7	4	70000	1120
1005	8	4	102000	1440
1005	9	4	138000	1800
1005	10	4	178000	2200
1005	11	4	222000	2640
1005	12	4	270000	3120
1005	13	4	322000	3640
1005	14	4	406000	4200
1005	15	4	496000	4800
1005	16	4	592000	5440
1005	17	4	694000	6120
1005	18	4	802000	6840
1005	19	4	916000	7600
1005	20	4	1036000	8400
1005	21	4	1204000	16800
