时间ID	在线时间(秒)	奖励ID	奖励数量
			
			
int	int	ints	ints
1	60	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
2	300	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
3	600	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
4	1200	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
5	1800	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
6	2400	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
7	3000	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
8	3600	21001|21051|21101|21151|21201|22001|22002	1|1|1|1|1|1|1
