id	建筑名称	建筑类型	是否可摧毁	等级上限	建筑的最大数量	1-21建筑数量	建筑位置	动画人物名称	动画人物坐标(x|y)	动画人物帧数	动画人物帧速度(ms)	建筑描述	建筑升级描述	建造描述	更多描述
sid	name	showtype	isPerish	maxLv	maxCount	count	type								
sid	name	showtype	isPerish	maxLv	maxCount	count	type	animation	animationPos	animationFn	animationFt	desc	upDesc	buildDesc	moreDesc
INT	string	INT	INT	INT	INT	INTS	INT	string	INTS	INT	INT	string	string	string	string
1001	府邸	1	0	21	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	-1	府邸是城市的核心，也是你在世界中的地位象征。升级府邸以解锁新的建筑和功能，获得更多游戏体验。	-1	府邸是城池的核心，它的等级奠定了您在世界中的地位。您可以在这里掌握主城的一切信息。 
1002	农田	2	1	21	100	2|2|3|4|4|5|5|5|6|7|7|7|7|7|7|7|7|7|7|7|7	2	farmer1	140|140	9	200	农田能为您产出粮草。升级农田能提升粮草拥有上限，并产出更多的粮草。当资源达到储量上限，则会停止生产资源。	农田能为您产出粮草。升级农田能提升粮草拥有上限，并产出更多的粮草。当资源达到储量上限，则会停止生产资源。	建造农田来为您的城池提供粮草	农田能为您产出丰富的粮草资源。去建造和升级更多的农田，提升您的粮草拥有量。当资源达到储量上限，则会停止生产资源。
1003	伐木场	2	1	21	100	2|2|3|3|4|4|4|5|6|7|7|7|7|7|7|7|7|7|7|7|7	2	worker1	140|130	6	200	伐木场能为您产出木材。升级伐木场能提升木材拥有上限，并产出更多的木材。当资源达到储量上限，则会停止生产资源。	伐木场能为您产出木材。升级伐木场能提升木材拥有上限，并产出更多的木材。当资源达到储量上限，则会停止生产资源。	建造伐木场来为您的城池提供木材	伐木场能为您产出丰富的木材资源。去建造和升级更多的伐木场，提升您的木材拥有量。当资源达到储量上限，则会停止生产资源。
1004	铁矿场	2	1	21	100	1|2|3|3|4|5|5|5|6|7|7|7|7|7|7|7|7|7|7|7|7	2	worker1	200|120	6	200	铁矿场能为您产出生铁。升级铁矿场能提升生铁拥有上限，并产出更多的生铁。当资源达到储量上限，则会停止生产资源。	铁矿场能为您产出生铁。升级铁矿场能提升生铁拥有上限，并产出更多的生铁。当资源达到储量上限，则会停止生产资源。	建造铁矿场来为您的城池提供生铁	铁矿场能为您产出丰富的生铁资源。去建造和升级更多的铁矿场，提升您的生铁拥有量。当资源达到储量上限，则会停止生产资源。
1005	采石场	2	1	21	100	1|2|3|3|3|4|4|5|6|7|7|7|7|7|7|7|7|7|7|7|7	2	worker2	20|100	6	200	采石场能为您产出石材。升级采石场能提升石材拥有上限，并产出更多的石材。当资源达到储量上限，则会停止生产资源。	采石场能为您产出石材。升级采石场能提升石材拥有上限，并产出更多的石材。当资源达到储量上限，则会停止生产资源。	建造采石场来为您的城池提供石材	采石场能为您产出丰富的石材资源。去建造和升级更多的采石场，提升您的石材拥有量。当资源达到储量上限，则会停止生产资源。
1006	仓库	3	1	21	1	0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	仓库可以保护一定数量的资源免于被敌军掠夺。高等级的仓库能保护更多资源。	仓库可以保护一定数量的资源免于被敌军掠夺。高等级的仓库能保护更多资源。	建造仓库来为您的资源提供保护	升级仓库可以提高战败时被保护的资源数量。
1007	书院	4	1	21	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	-1	您能在书院中研究各种实用的科技，升级书院能减少研究花费的时间。	建造书院来研究各种实用的科技	对于拥有雄图壮志的您来说，书院是一个必不可少的建筑，您能在这里研究各种实用的科技来增强您的实力，提升您的战力。
