装饰元素sid	图片	坐标x	坐标y	水平翻转
				
sid	img	x	y	flip
INT	STRING	INT	INT	INT
1	shiping.png	1281	1619	0
2	dadizhuan.png	1042	1126	0
3	liushu2.png	1	2	0
4	liushu3.png	1	3	0
5	liushu1.png	1411	2049	0
6	liushu1.png	755	1389	0
7	liushu1.png	784	1084	0
8	shilu2.png	1435	1625	0
9	shilu2.png	1287	1547	0
10	dengzhu.png	1306	1433	0
11	dengzhu.png	1483	1553	0
12	dengzhu.png	1414	1370	0
13	dengzhu.png	1600	1486	0
14	dengzhu.png	1532	1312	0
15	dengzhu.png	1704	1429	0
16	dengzhu.png	1668	1245	0
17	dengzhu.png	1881	1340	0
18	lvshu.png	590	1717	0
19	che.png	1484	1308	0
20	butan.png	2207	1473	0
21	xiaopenzai.png	721	1637	0
22	xiaopenzai.png	1295	1896	0
23	lvshuye.png	2786	1502	0
24	shuitong.png	3064	1487	0
25	lvshu.png	1766	2157	0
26	lvshu2.png	1338	2341	0
27	difudiao3.png	936	715	0
28	liushu4.png	413	1027	0
29	jiutan2.png	489	1141	0
30	liushu4.png	304	1664	0
31	jiutan.png	162	1641	0
32	lvshu.png	902	1046	0
33	shidunyi.png	888	924	0
34	shidunyi.png	879	884	0
35	shilu2.png	1812	1229	0
36	shilu2.png	1965	1303	0
37	liushu3.png	2999	1620	0
38	liushu3.png	3345	1628	0
39	shizhuo.png	1136	2087	0
40	liushu3.png	3719	590	0
