宝石id	宝石名称	宝石类型	宝石等级	附加属性类型	属性数值(万分位)	下一等级ID
						
sid	name	type	level	key	value	nextSid
INT	STRING	INT	INT	INTS	INTS	INTS
101	蓝宝石 Lv.1	1	1	1	200	102
102	蓝宝石 Lv.2	1	2	1	400	103
103	蓝宝石 Lv.3	1	3	1	800	104
104	蓝宝石 Lv.4	1	4	1	1200	105
105	蓝宝石 Lv.5	1	5	1	1600	106
106	蓝宝石 Lv.6	1	6	1	2000	-1
111	红宝石 Lv.1	2	1	11	200	112
112	红宝石 Lv.2	2	2	11	400	113
113	红宝石 Lv.3	2	3	11	800	114
114	红宝石 Lv.4	2	4	11	1200	115
115	红宝石 Lv.5	2	5	11	1600	116
116	红宝石 Lv.6	2	6	11	2000	-1
121	黄水晶 Lv.1	3	1	21	200	122
122	黄水晶 Lv.2	3	2	21	400	123
123	黄水晶 Lv.3	3	3	21	800	124
124	黄水晶 Lv.4	3	4	21	1200	125
125	黄水晶 Lv.5	3	5	21	1600	126
126	黄水晶 Lv.6	3	6	21	2000	-1
131	祖母绿 Lv.1	4	1	31	200	132
132	祖母绿 Lv.2	4	2	31	400	133
133	祖母绿 Lv.3	4	3	31	800	134
134	祖母绿 Lv.4	4	4	31	1200	135
135	祖母绿 Lv.5	4	5	31	1600	136
136	祖母绿 Lv.6	4	6	31	2000	-1
141	紫玛瑙 Lv.1	5	1	51	200	142
142	紫玛瑙 Lv.2	5	2	51	400	143
143	紫玛瑙 Lv.3	5	3	51	800	144
144	紫玛瑙 Lv.4	5	4	51	1200	145
145	紫玛瑙 Lv.5	5	5	51	1600	146
146	紫玛瑙 Lv.6	5	6	51	2000	-1
151	猫眼石 Lv.1	6	1	42	200	152
152	猫眼石 Lv.2	6	2	42	400	153
153	猫眼石 Lv.3	6	3	42	800	154
154	猫眼石 Lv.4	6	4	42	1200	155
155	猫眼石 Lv.5	6	5	42	1600	156
156	猫眼石 Lv.6	6	6	42	2000	-1
161	绿松石 Lv.1	7	1	43	200	162
162	绿松石 Lv.2	7	2	43	500	163
163	绿松石 Lv.3	7	3	43	1000	164
164	绿松石 Lv.4	7	4	43	1500	165
165	绿松石 Lv.5	7	5	43	2000	166
166	绿松石 Lv.6	7	6	43	2500	-1
