步骤	完成引导	引导类型(1文字，2地块，3按钮）	指引者图片	引导文字描述	指向方向(1上2下3左4右)	指向地块的类型	指向地块的sid
							
step	setpFinish	type	guiderImg	desc	pointDir	bType	bSid
INT	INT	INT	string	STRING	INT	INT	INT
1001	1001	1	guider_1.png	欢迎来到三国，我是您的婢女小婵。	1	-1	-1
2001	-1	1	guider_1.png	启禀主公，为了能更方便快捷的处理政务，请您点击进入引导界面。	1	-1	-1
2002	-1	3	-1	-1	2	-1	-1
2004	-1	1	guider_1.png	启禀主公，我军已控制了这座城池，这将是您争霸天下的基业！	1	-1	-1
2005	-1	1	guider_1.png	城内百废待兴，主公不妨安排一些人手参与到城池建设中来。	1	-1	-1
2006	-1	1	guider_1.png	拥有足够的粮草是军队发展的根本，先在城外建造一块农田吧！	1	-1	-1
2007	-1	3	-1	-1	1	-1	-1
20071	-1	3	-1	-1	1	-1	-1
2008	-1	2	-1	-1	2	2	7
2009	-1	3	-1	-1	1	-1	-1
2010	2010	3	-1	-1	1	-1	-1
3001	3001	3	-1	-1	2	-1	-1
4003	-1	1	guider_1.png	启禀主公，有了农田，我军就可以在此长久驻扎了！	1	-1	-1
4004	-1	1	guider_1.png	现在就去建造兵营，给士兵们一个栖身之所吧！	1	-1	-1
4005	-1	3	-1	-1	2	-1	-1
40051	-1	3	-1	-1	1	-1	-1
40052	-1	3	-1	-1	1	-1	-1
4006	-1	2	-1	-1	2	1	10
4007	-1	3	-1	-1	1	-1	-1
4008	4008	3	-1	-1	1	-1	-1
5001	-1	1	guider_1.png	启禀主公，兵营已建好，您可以在兵营中训练士兵了！	1	-1	-1
5002	-1	2	-1	-1	2	1	10
5003	-1	1	guider_1.png	士兵分4种类型：步兵，弩兵，骑兵，攻城兵。	1	-1	-1
5004	-1	1	guider_1.png	他们之间有克制与被克制的关系！	1	-1	-1
5005	-1	3	-1	-1	1	-1	-1
5006	5006	3	-1	-1	1	-1	-1
6001	-1	1	guider_1.png	启禀主公，兵营已经开始训练士兵，倒计时结束后会增加相应的兵力！	1	-1	-1
6002	-1	1	guider_1.png	任何CD队列都是可以加速完成的。快去使用加速道具，减少队列等待时间吧！	1	-1	-1
6003	-1	3	-1	-1	1	-1	-1
6004	6004	3	-1	-1	1	-1	-1
7001	-1	1	guider_1.png	启禀主公，短弓兵×100已训练完毕，我军增加了100兵力！	1	-1	-1
7002	-1	1	guider_1.png	有了兵力就可以发起战争了！请主公进入战役地图！	1	-1	-1
7003	-1	3	-1	-1	2	-1	-1
7004	-1	3	-1	-1	1	-1	-1
7005	-1	3	-1	-1	2	-1	-1
7006	7007	3	-1	-1	2	-1	-1
7007	7007	3	-1	-1	2	-1	-1
8001	8001	1	guider_1.png	府邸的等级奠定了您在世界中的地位，跟随主线任务，能快速提升府邸等级！	1	-1	-1
8002	8002	1	guider_1.png	不知道做什么的时候，请进入“引导界面”处理各项政务！	1	-1	-1
8003	8003	1	guider_1.png	小婵在此预祝主公，在三国乱世中，大展宏图，天下归心！	1	-1	-1
