武将id	武将名称	是否为初始武将	武将名称颜色	武将图片	英雄简介	是否唯一	所属国家（0=群雄，1=魏国，2=蜀国，3=吴国）	特殊技能id	特殊技能解锁等级	寻访获得基础概率（万分比）	忠诚度	竞拍低价	秒拍价格	武将被抓走概率	英雄性别	是否开放
sid	name	type		pic			land	flair	flairLv		loyal	minPrice	buyPrice	catchRate		open
sid	name	type	color	img	desc	soleFlag	land	flair	flairLv	seachRate	loyal	lowPrice	highPrice	grabProb	sex	
INT	STRING	INT	INT	STRING	STRING	INT	INT	INTS	INTS	INT	INT	INT	INT	INT	INT	INT
1001	初始男武将	1	1	H_1.png	初始武将	0	0	-1	-1	-1	-1	-1	-1	0	0	1
1002	初始女武将	1	1	H_2.png	初始武将	0	0	-1	-1	-1	-1	-1	-1	0	1	1
2001	吕布	0	5	H_lvbu.png	三国第一猛将，有虓虎之勇，无英奇之略，狭隘多疑，反复无常。	1	0	20011|20012|20013|20014	5|15|25|35	10	100	1000	40000	50	0	0
2002	貂蝉	0	5	H_lvbu.png	歌舞双绝，颜智俱佳。猛将勇夫不能除一董卓，而貂蝉独能除之。	1	0	20021|20022|20023	5|15|25	10	100	1000	20000	50	1	0
2003	董卓	0	5	H_lvbu.png	汉末权臣，玩弄权术，残忍嗜杀，屠戮百姓，罪孽滔天。	1	0	20031|20032|20033|20034	5|15|25|35	10	100	1000	40000	50	0	0
2004	袁绍	0	5	H_lvbu.png	汉末最强诸侯，出身名门，以豪侠得众心，讨董灭瓒，名重天下。	1	0	20041|20042|20043|20044	5|15|25|35	10	100	1000	40000	50	0	0
2005	华雄	0	5	H_lvbu.png	董卓帐下武将，身长九尺，虎体狼腰，豹头猿臂，作战勇猛。	1	0	20051|20052|20053	5|15|25	10	100	1000	20000	50	0	0
2006	颜良	0	5	H_lvbu.png	袁绍帐下武将，勇猛善战，然性急促狭，虽骁勇不可独任。	1	0	20061|20062|20063	5|15|25	10	100	1000	20000	50	0	0
2007	文丑	0	5	H_zhaoyun.png	袁绍帐下大将，勇冠三军，骁勇善战，一马当先，威名赫赫。	1	0	20071|20072|20073	5|15|25	10	200	1000	20000	50	0	0
2008	袁术	0	5	H_zhaoyun.png	袁绍之弟，汉末军阀。出身名门，共破董卓，奢侈荒淫，部众离心。	1	0	20081|20082|20083	5|15|25	10	200	1000	20000	50	0	0
2009	华佗	0	5	H_zhaoyun.png	汉末名医，不求名利，不慕富贵，外科鼻祖，一世神医。	1	0	20091|20092|20093	5|15|25	10	200	1000	20000	50	0	0
2010	张角	0	5	H_zhaoyun.png	黄巾军首领，太平道教主。以宗教救世为名，组织农民揭竿起义。	1	0	20101|20102|20103|20104	5|15|25|35	10	200	1000	40000	50	0	0
2011	于吉	0	5	H_zhaoyun.png	汉末道士，著有《太平青领书》，以符水治病，甚得民心。	1	0	20111|20112|20113	5|15|25	10	200	1000	20000	50	0	0
2012	左慈	0	5	H_zhaoyun.png	汉末方士，通五经，懂占星，能变化万端。归隐炼丹，死后成仙。	1	0	20121|20122|20123	5|15|25	10	200	1000	20000	50	0	0
3001	曹操	0	5	H_zhaoyun.png	字孟德，曹魏政权的缔造者。治世之能臣，乱世之奸雄。	1	1	30011|30012|30013|30014	5|15|25|35	10	200	1000	40000	50	0	0
