英雄当前等级	英雄升级到下一级所需要的经验	本等级增加的战力	升级获得的技能点数
level	exp	point	dit
level	exp	point	dit
INT	INT	INT	INT
1	10000	60	1
2	20000	76	1
3	30000	96	1
4	40000	121	2
5	50000	153	2
6	60000	193	2
7	70000	244	2
8	80000	308	2
9	90000	389	2
10	200000	491	3
11	220000	620	3
12	240000	783	3
13	260000	989	3
14	280000	1249	3
15	300000	1577	3
16	320000	1991	3
17	340000	2514	3
18	360000	3174	3
19	380000	4008	3
20	500000	5061	4
21	530000	6390	4
22	560000	8069	4
23	690000	10189	4
24	720000	12865	4
25	750000	16244	4
26	780000	20511	4
27	810000	25899	4
28	840000	32702	4
29	870000	41292	4
30	1200000	52139	5
31	1500000	65835	5
32	2500000	83129	5
33	2500000	104965	5
34	2500000	132537	5
35	2500000	167352	5
36	2500000	211312	5
37	2500000	266819	5
38	2500000	336907	5
39	5000000	425406	5
40	5000000	537152	6
41	7500000	678251	7
42	7500000	856414	8
43	10000000	1081377	9
44	15000000	1365433	10
45	20000000	1724105	11
46	50000000	2176993	12
47	50000000	2748846	13
48	100000000	3470913	14
49	200000000	4382652	15
50	-1	5533887	16
