副本ID	名称	副本描述	副本建筑图标	副本类型	兵种12345	兵种数量	消耗体力	前序副本	后序副本	掉落资源012345	奖励英雄经验	概率掉落道具ID	掉落概率(万分位)	通关掉落奖励
sid	name	direction		type	branchSids	branchNums	bodyForce	lastSid	nextSid	res	exp	gemSids	gemRate	awards
sid	name	description	image	type	branchSids	branchNums	bodyForce	preSid	nextSid	res	exp	gemSids	gemRate	
int	string	string	string	int	ints	ints	int	ints	ints	ints	int	ints	int	ints
10101	黄巾贼营	    张角利用奇书《太平要术》上的经典，救助人民笼络人心，同时大力宣扬“苍天已死，黄天当立，岁在甲子，天下大吉”的迷信思想蛊惑人心，使他创立的太平道教在贫苦农民中树立了威望，信众多达数十万。	judian.png	0	1001|2001|3001|4001|10001	20|20|0|0|0	20	-1	10102	0|0|0|0|0|100	100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10102	广宗西	    黄巾军节节败退，以十多万人之众占据宛城，却被孙坚大破城门。同时，卢植也数战大破张角，斩杀万余人，张角唯有撤往广宗，以图后谋。	chuji.png	0	1001|2001|3001|4001|10001	400|400|400|100|400	20	10101	10103	0|0|1050|0|0|0	200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10103	广宗	    董卓代替卢植进攻广宗却无功而返，便命令黄埔嵩继续北上。不久张角病死，张梁接替张角与黄埔嵩对峙。张梁军犟，于首战不能攻克。次日，皇甫嵩在黎明时分突袭，大破黄巾军，斩杀张梁及数万敌军。	chuji.png	0	1001|2001|3001|4001|10001	600|600|600|150|600	20	10102	10104	0|0|0|1050|0|0	300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10104	曲阳南	    屡战屡败的黄巾军在张角死后群龙无首，器械投降后又仍遭屠戮，黄巾军内人人自危。在这种情况下，黄埔嵩与巨鹿太守郭典将战事向张宝所在的曲阳推进，意图击溃黄巾军最后一股中坚力量。	zhongji_y.png	0	1001|2001|3001|4001|10001	800|800|800|200|800	20	10103	10105	0|0|0|0|1050|0	400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10105	曲阳	    黄巾军大势已去。黄埔嵩与巨鹿太守郭典建筑拦挡、挖掘壕沟、制造云梯，一鼓作气攻下曲阳，成功斩杀张宝，俘虏十数万人。至此，黄巾之乱平息。	last_y.png	1	1001|2001|3001|4001|10002	1000|1000|1000|250|500	40	10104	-1	0|1800|0|0|0|0	600	24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10201	汜水关西	    董卓进入汉都洛阳，控制朝廷，专擅国政，为政暴虐。同年，几个军阀和地方官组成联盟对抗董卓，以袁绍为盟主。联军先攻去洛阳途中的山关之一汜水关。	chuji.png	0	1001|2001|3001|4001|10001	800|500|500|100|800	20	-1	10202	0|0|2100|0|0|0	500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10202	汜水关	    前锋孙坚在进军汜水关时被华雄击败，华雄耀武扬威、不可一世，在潘凤等大将接连被华雄斩杀之时，关羽主动请缨前去战华雄，并在温酒尚未变冷的极短时间内将华雄斩杀，关羽因此名震诸侯。	gaoji_g.png	0	1001|2001|3001|4001|10002	1200|1000|1000|200|800	20	10201	10203	0|0|0|2100|0|0	500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
