道具id	道具类型	道具名称	功能类别	道具说明	叠放数量	售价（金币）	售价（公会贡献）	是否可以使用（1=是，0=否）	功能id	功能参数1	功能参数2	功能参数3	功能参数4
sid		name				sale	societySale	isUsed	funStyle	parmeter1	parmeter2	parmeter3	parmeter4
sid	type	name	itemType	desc	maxNum	sale	societySale	isUsed	funStyle	parmeter1	parmeter2	parmeter3	parmeter4
INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INTS	INTS	INTS	INT
20001	1	VIP卡（1天)	1	激活您当前的VIP等级特权，持续1天。	60000	125	0	1	3	86400	0	0	0
20002	1	VIP卡（7天）	1	激活您当前的VIP等级特权，持续7天。	60000	750	0	1	3	604800	0	0	0
20003	1	VIP卡（30天）	1	激活您当前的VIP等级特权，持续30天。	60000	2000	0	1	3	2592000	0	0	0
20004	1	VIP卡（60分钟）	1	激活您当前的VIP等级特权，持续60分钟。	60000	2000	0	1	3	3600	0	0	0
20051	1	VIP积分（100）	2	增加100 VIP积分，来提升您的VIP等级。	60000	75	37500	1	1	8	100	0	0
20052	1	VIP积分（300）	2	增加300 VIP积分，来提升您的VIP等级。	60000	200	0	1	1	8	300	0	0
20053	1	VIP积分（1000）	2	增加1000 VIP积分，来提升您的VIP等级。	60000	500	0	1	1	8	1000	0	0
20101	1	非凡经验丹	3	赐予武将50000经验！	60000	200	100000	1	1	6	50000	0	0
20102	1	稀有经验丹	3	赐予武将200000经验！	60000	750	0	1	1	6	200000	0	0
20103	1	绝世经验丹	3	赐予武将1000000经验！	60000	2500	0	1	1	6	1000000	0	0
20104	1	传说经验丹	3	赐予武将5000000经验！	60000	9000	0	1	1	6	5000000	0	0
20105	1	经验丹	4	获得25%武将经验加成，持续24小时。	60000	1000	0	1	4	200	2500	86400	1
20106	1	普通经验丹	3	赐予武将5000经验！	60000	9000	0	1	1	6	5000	0	0
20107	1	珍贵经验丹	3	赐予武将10000经验！	60000	9000	0	1	1	6	10000	0	0
20201	1	天赋书	5	用于重置武将天赋。	60000	500	150000	0	-1	0	0	0	0
20251	1	城卫军令	6	刷新城卫军行动及品阶！	60000	400	50000	0	-1	0	0	0	0
20252	1	联盟军令	7	刷新联盟军行动及品阶！	60000	500	100000	0	-1	0	0	0	0
20253	1	禁卫军令	8	刷新禁卫军行动及品阶！	60000	500	0	0	-1	0	0	0	0
20301	1	迁城令	9	将主城随机迁徙到本服任意位置！	60000	250	100000	1	9	1	0	0	0
20302	1	高级迁城令	10	将主城迁徙到本服任意位置！（可用于跨服战期间暂时迁往敌对服务器！）	60000	750	400000	0	9	2	0	0	0
20303	1	跨服迁城令	59	将主城永久迁徙到其他服务器！	60000	5000	0	0	9	3	0	0	0
20304	1	新手迁城令	60	府邸等级5级之前可用于迁往其他服务器，府邸等级5级之后只能用于本服迁城！	60000	5000	0	0	9	4	0	0	5
20351	1	改名卡	11	用于修改您的名称。	60000	20	5000	0	10	1	0	0	0
20352	1	武将改名卡	12	用于修改您的武将名称。	60000	1000	0	1	10	3	0	0	0
20353	1	主城改名卡	13	用于修改您的主城名称。	60000	20	5000	1	10	2	0	0	0
20354	1	联盟改名卡	14	用于修改您的联盟名称。	60000	100	16000	1	10	4	0	0	0
20355	1	俘虏改名卡	15	用于修改您关押的武将名称。	60000	1000	0	1	10	7	0	0	0
20401	1	修生养息（1天）	16	减少25%粮草消耗，持续1天。	60000	250	0	1	4	47	-2500	86400	2
20402	1	修生养息（5天）	16	减少25%粮草消耗，持续5天。	60000	1000	0	1	4	47	-2500	432000	2
20403	1	强效修生养息（1天）	16	减少50%粮草消耗，持续1天。	60000	1000	0	1	4	47	-5000	86400	2
20404	1	强效修生养息（5天）	16	减少50%粮草消耗，持续5天。	60000	4000	0	1	4	47	-5000	432000	2
20451	1	采集大师	17	提升军队在野外资源点50%的采集速度，持续24小时。	60000	300	50000	1	4	110	5000	86400	3
20501	1	宝石摘取能手	18	完美摘取1-2级宝石，不损坏。	60000	200	60000	0	-1	0	0	0	0
20502	1	宝石摘取专家	19	完美摘取1-4级宝石，不损坏。	60000	1000	0	0	-1	0	0	0	0
20503	1	宝石摘取大师	20	完美摘取1-6级宝石，不损坏。	60000	2000	0	0	-1	0	0	0	0
20551	1	绣花包袱	21	扩充4个装备背包格子。	60000	500	0	1	14	0	0	0	4
20601	1	九转回魂丹	22	用于复活您死去的武将。	60000	3000	500000	0	-1	0	0	0	0
20651	1	献祭匕首	23	用于升级祭坛。	60000	8	0	0	-1	0	0	0	0
20652	1	铁枷锁	24	用于升级地牢。	60000	8	0	0	-1	0	0	0	0
20653	1	《孙子兵法》	25	用于升级军政厅。	60000	8	0	0	-1	0	0	0	0
20654	1	鲁班锤	26	用于将建筑升级至 Lv.21。	60000	2500	0	0	-1	0	0	0	0
20701	1	战书	27	用于解锁自己或盟友额外的联盟战争栏位。	60000	13	0	0	-1	0	0	0	0
20751	1	火把	28	立即摧毁一座建筑。	60000	10	0	0	-1	0	0	0	0
20801	1	标记箱	29	箱内有10个标记，用于收藏更多的坐标位置！	60000	500	0	1	11	10	0	0	0
20851	1	劝降书	30	用于劝降敌方武将。	60000	2500	0	0	15	10	0	0	0
21001	2	30000粮草卡	31	30000粮草	60000	20	10000	1	1	2	30000	0	0
21002	2	150000粮草卡	31	150000粮草	60000	80	0	1	1	2	150000	0	0
21003	2	500000粮草卡	31	500000粮草	60000	200	0	1	1	2	500000	0	0
21004	2	2000000粮草卡	31	2000000粮草	60000	600	0	1	1	2	2000000	0	0
21005	2	6000000粮草卡	31	6000000粮草	60000	1650	0	1	1	2	6000000	0	0
21006	2	3000粮草卡	31	3000粮草	60000	1650	0	1	1	2	3000	0	0
21007	2	5000粮草卡	31	5000粮草	60000	1650	0	1	1	2	5000	0	0
21008	2	10000粮草卡	31	10000粮草	60000	1650	0	1	1	2	10000	0	0
21051	2	10000木材卡	32	10000木材	60000	20	10000	1	1	3	10000	0	0
