奖励ID	奖励道具	金币数量
sid	award	gold
sid	item	gold
int	ints	int
1001	24054|24004|24104	3000
1002	24054|24004|24104	2000
1003	24054|24004|24104	1000
1004	20002|24002|24052	1000
1005	20002|24002|24052	1000
1006	20002|24002|24052	600
1007	20002|24002|24052	600
1008	20002|24002|24052	600
1009	20002|24002|24052	600
1010	20002|24002|24052	600
1011	20001|20052	300
1012	20001|20052	300
1013	20001|20052	300
1014	20001|20052	300
1015	20001|20052	300
1016	20001|20052	300
1017	20001|20052	300
1018	20001|20052	300
1019	20001|20052	300
1020	20001|20052	300
1021	20001|20052	300
1022	20001|20052	300
1023	20001|20052	300
1024	20001|20052	300
1025	20001|20052	300
1026	20001|20052	300
1027	20001|20052	300
1028	20001|20052	300
1029	20001|20052	300
1030	20001|20052	300
1031	20001|20052	200
1032	20001|20052	200
1033	20001|20052	200
1034	20001|20052	200
1035	20001|20052	200
1036	20001|20052	200
1037	20001|20052	200
1038	20001|20052	200
1039	20001|20052	200
1040	20001|20052	200
1041	20001|20052	200
1042	20001|20052	200
1043	20001|20052	200
1044	20001|20052	200
1045	20001|20052	200
1046	20001|20052	200
1047	20001|20052	200
1048	20001|20052	200
1049	20001|20052	200
1050	20001|20052	200
1051	20001|20052	100
1052	20001|20052	100
1053	20001|20052	100
1054	20001|20052	100
1055	20001|20052	100
1056	20001|20052	100
1057	20001|20052	100
1058	20001|20052	100
1059	20001|20052	100
1060	20001|20052	100
1061	20001|20052	100
1062	20001|20052	100
1063	20001|20052	100
1064	20001|20052	100
1065	20001|20052	100
1066	20001|20052	100
1067	20001|20052	100
1068	20001|20052	100
1069	20001|20052	100
1070	20001|20052	100
1071	20001|20052	100
1072	20001|20052	100
1073	20001|20052	100
1074	20001|20052	100
1075	20001|20052	100
1076	20001|20052	100
1077	20001|20052	100
1078	20001|20052	100
1079	20001|20052	100
1080	20001|20052	100
1081	20001|20052	100
1082	20001|20052	100
1083	20001|20052	100
1084	20001|20052	100
1085	20001|20052	100
1086	20001|20052	100
1087	20001|20052	100
1088	20001|20052	100
1089	20001|20052	100
1090	20001|20052	100
1091	20001|20052	100
1092	20001|20052	100
1093	20001|20052	100
1094	20001|20052	100
1095	20001|20052	100
1096	20001|20052	100
1097	20001|20052	100
1098	20001|20052	100
1099	20001|20052	100
1100	20001|20052	100
