称号ID	称号名称	称号数量	属性1234	数值1234(万分位)
sid	name	count	type	value
sid	name	num	attrs	value
int	string	int	ints	ints
1001	将军	1	41|42|45	1000|1000|1000
1002	富商	1	120	500
1003	暗卫	1	42	1500
1004	王后	1	101	2000
1005	太守	1	120|42	500|-500
1006	士兵	1	41|42	800|800
1007	军师	1	106|42	1500|100
1008	工匠	1	107|42	1000|500
2001	农民	1	102|101|109	200|-1500|-500
2002	挑夫	1	102|45	-1500|-1500
2003	小贩	1	41|42	-800|-800
2004	苦役	1	41|42|101|109	-500|-500|-1500|-500
2005	马贼	1	102|101|109	500|-1500|-500
2006	奴仆	1	101|107	-1500|-1000
2007	恶霸	1	41|42	-1000|-1000
2008	懦夫	1	42|120	-1000|-1000|-3000
3001	国王	1	41|42|43	1500|1500|1500
