文本id	文本
id	str
id	str
INT	string
1	------ 府邸人物对话
2	臣有事启奏！
3	天赋可提升！
4	礼包可领取！
5	老夫没话说！
6	联盟有战事！
7	八百里加急！
100	------ 主公的唠叨
101	任何形式的出兵都将打破免战状态
102	名将比普通武将更容易在战败后被俘
103	武将被俘后，最好尽快施展营救
104	可在规定时间内前往墓地复活死去武将
105	超过期限未被复活的武将会真正死亡
106	招募新武将成功，原有武将会被替换
107	名将被俘后可被劝降，请尽快施展营救
108	相同的建筑最好优先升级其中一个
109	做主线任务是升级府邸最快的途径
110	没事多找找丞相，有他在办事很方便
111	医馆只能保护在守城战中受伤的士兵
112	城墙陷阱在守城战中有不错的防御作用
113	你的医馆最好能容纳得下你所有的士兵
114	升级府邸可以获得更多的行军队伍
115	任意玩家击败关押者都将救出被关武将
116	若武将被俘，请找联盟大佬帮你营救
117	最好优先发展一个兵种及相应兵种科技
118	争霸地图的资源点，能采集获得大量资源
119	升级仓库，能保护更多的资源不被掠夺
120	地牢升至15级，可以处决和被处决武将
121	行军路线冲突，有可能导致战争和死亡
122	要塞森林里的城池，被攻破后将被打飞
