奖励ID	奖励资源数量0123456789	奖励道具ID	道具数量
			
sid	resource	item	num
INT	INTS	INTS	INTS
1001	0|0|1403|1734|2006|1170|1448|0|0|19	22003	1
1002	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1003	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1004	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1005	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1006	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1007	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1008	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1009	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1010	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1011	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1012	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1013	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1014	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1015	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1016	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1017	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1018	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1019	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1020	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1021	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1022	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1023	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1024	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1025	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1026	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1027	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1028	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1029	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1030	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1031	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1032	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1033	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1034	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1035	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1036	0|0|4211|5203|6019|3512|2896|0|0|38	-1	-1
1037	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1038	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1039	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1040	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1041	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1042	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1043	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1044	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1045	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1046	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
