任务分类	任务等级	英雄经验	银币	资源2|3|4|5	公会贡献度	时间下限(秒)	时间上限(秒)	装备材料宝石ID	任务权重
type	level	heroExp	silver	resourceNum	contribute	timeTop	timeDown	propSid	weight
									
INT	INT	INT	INT	INT	INT	INT	INT	INTS	INT
1	1	100	50	50	0	120	300	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	50000
1	2	400	100	100	0	300	600	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|101|111|121|131|141|151|161	20000
1	3	1500	375	375	0	1500	3000	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|102|112|122|132|142|152|162	8000
1	4	4000	1250	1250	0	6000	12000	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|102|112|122|132|142|152|162	3000
1	5	20000	10000	10000	0	12000	18000	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|103|113|123|133|143|153|163	2000
1	6	50000	50000	50000	0	24000	30000	1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006|103|113|123|133|143|153|163	1000
2	1	100	50	50	500	120	300	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	50000
2	2	400	100	100	2000	300	600	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|101|111|121|131|141|151|161	20000
2	3	1500	375	375	7500	1500	3000	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|102|112|122|132|142|152|162	8000
2	4	4000	1250	1250	20000	6000	12000	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|102|112|122|132|142|152|162	3000
2	5	20000	10000	10000	100000	12000	18000	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|103|113|123|133|143|153|163	2000
2	6	50000	50000	50000	250000	24000	30000	1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006|103|113|123|133|143|153|163	1000
3	1	100	50	50	500	120	300	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	50000
3	2	400	100	100	2000	300	600	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|101|111|121|131|141|151|161	20000
3	3	1500	375	375	7500	1500	3000	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|102|112|122|132|142|152|162	8000
3	4	4000	1250	1250	20000	6000	12000	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|102|112|122|132|142|152|162	3000
3	5	20000	10000	10000	100000	12000	18000	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|103|113|123|133|143|153|163	2000
3	6	50000	50000	50000	250000	24000	30000	1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006|103|113|123|133|143|153|163	1000
