科技id	科技名称	科技等级	科技描述	科技类型1=兵种科技；2=城防科技；3=生产科技	消耗资源012345	消耗时间(秒)	需要的学院等级	科技的参数类型1	科技的参数数值1(万分位)	科技的参数类型2	科技的参数数值2(万分位)	前序科技	该等级上一个技能	英雄增加经验值	本等级战斗力
sid	name	level		type	costs	cd	buildLv	type1	value1	type2	value2	mustSid	lastSid	addExp	point
sid	name	level	desc	type	costs	cd	buildLv	type1	value1	type2	value2	mustSid	lastSid	addExp	point
INT	string	INT	string	INT	INTS	INT	INT	INT	INT	INT	INT	INTS	int	INT	INT
11001	哨兵侦查	1	告知防守部队的粗略估计兵力，和粮草、木材、石材、生铁资源的确切数量。	1	0|225|0|0|0|0	900	1	-1	0	-1	0	-1	-1	48000	11
11002	哨兵侦查	2	告知防守部队的类型，和白银数量。	1	0|675|0|0|0|0	2700	3	-1	0	-1	0	11001	11001	96000	33
11003	哨兵侦查	3	告知增援部队的数量。	1	0|2025|0|0|0|0	8100	4	-1	0	-1	0	11002	11002	144000	100
11004	哨兵侦查	4	告知防守部队的大致兵力，和增援部队的类型。	1	0|6075|0|0|0|0	30600	6	-1	0	-1	0	11003	11003	192000	303
11005	哨兵侦查	5	告知武将状态，和所有部队兵种。	1	0|18225|0|0|0|0	145800	8	-1	0	-1	0	11004	11004	240000	909
11006	哨兵侦查	6	告知增援部队的大致兵力。	1	0|54675|0|0|0|0	291600	10	-1	0	-1	0	11005	11005	288000	2727
11007	哨兵侦查	7	告知防守部队的大致兵力，和参与增援的玩家名。	1	0|164025|0|0|0|0	583200	12	-1	0	-1	0	11006	11006	336000	8181
11008	哨兵侦查	8	告知增援部队更为准确的兵力。	1	0|492075|0|0|0|0	1749600	15	-1	0	-1	0	11007	11007	384000	24543
11009	哨兵侦查	9	告知武将等级，防守部队的准确兵力，和防守城池所有建筑的等级表。	1	0|1476225|0|0|0|0	3456000	18	-1	0	-1	0	11008	11008	432000	73629
11010	哨兵侦查	10	告知增援部队的准确兵力，和防守城池拥有的有效增益。	1	0|4428675|0|0|0|0	10368000	20	-1	0	-1	0	11009	11009	480000	220887
11101	训练加速	1	士兵训练速度加成：+20%	1	0|1000|1000|1000|1000|1000	5400	2	109	2000	-1	0	11001	-1	70000	2250
11201	步兵攻击	1	步兵攻击力加成:+1%	1	0|6000|5000|5000|0|3750	10800	2	1	100	-1	0	11101	-1	30000	300
11202	步兵攻击	2	步兵攻击力加成:+3%	1	0|12000|10000|10000|0|7500	23700	4	1	300	-1	0	11201	11201	60000	1050
11203	步兵攻击	3	步兵攻击力加成:+7%	1	0|37500|20000|20000|0|15000	52100	6	1	700	-1	0	11202	11202	90000	2925
11204	步兵攻击	4	步兵攻击力加成:+13%	1	0|93700|40000|40000|0|30000	114600	8	1	1300	-1	0	11203	11203	120000	7612
11205	步兵攻击	5	步兵攻击力加成:+21%	1	0|234200|80000|80000|0|60000	252100	10	1	2100	-1	0	11204	11204	150000	19329
11206	步兵攻击	6	步兵攻击力加成:+31%	1	0|585500|160000|160000|0|120000	471660	12	1	3100	-1	0	11205	11205	180000	48621
11207	步兵攻击	7	步兵攻击力加成:+46%	1	0|1463700|320000|320000|0|240000	1220100	14	1	4600	-1	0	11206	11206	210000	121851
11208	步兵攻击	8	步兵攻击力加成:+66%	1	0|3659250|640000|640000|0|480000	2433660	16	1	6600	-1	0	11207	11207	240000	304926
