资源点ID	资源点名称	描述	资源点类型	产出资源类型	产出资源数量	半径1权重	半径2权重	半径3权重	半径4权重	半径5权重	半径6权重	可刷新出的资源点数量	掉落材料宝石ID	掉落材料宝石权重	产出资源数量系数	采集一个需要的时间(毫秒)
sid	name		type	growth	max	radius1	radius2	radius3	radius4	radius5	radius6	countMax	propSid	propRate	pickupRate	pickupTime
sid	name	desc	type	growth	max	radius1	radius2	radius3	radius4	radius5	radius6	countMax	propSid	propRate	pickupRate	pickupTime
int	string	string	int	int	int	int	int	int	int	int	int	int	ints	ints	int	int
1001	农田 Lv.1	蕴藏了大量粮草资源	1	2	115200	0	0	0	0	200	400	740	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	30
1002	农田 Lv.2	蕴藏了大量粮草资源	1	2	230400	0	0	0	100	300	100	600	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|102|112|122|132|142|152|162	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	30
1003	农田 Lv.3	蕴藏了大量粮草资源	1	2	460800	0	0	200	400	0	0	500	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|103|113|123|133|143|153|163	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	30
1004	农田 Lv.4	蕴藏了大量粮草资源	1	2	921600	0	200	400	200	0	0	480	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|104|114|124|134|144|154|164	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	30
1005	农田 Lv.5	蕴藏了大量粮草资源	1	2	1843200	0	400	100	0	0	0	86	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|105|115|125|135|145|155|165	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	30
1006	农田 Lv.6	蕴藏了大量粮草资源	1	2	3686400	100	0	0	0	0	0	6	1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006|106|116|126|136|146|156|166	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	30
1101	伐木场 Lv.1	蕴藏了大量木材资源	1	3	76800	0	0	0	0	200	400	580	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1102	伐木场 Lv.2	蕴藏了大量木材资源	1	3	153600	0	0	0	100	300	100	470	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|102|112|122|132|142|152|162	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1103	伐木场 Lv.3	蕴藏了大量木材资源	1	3	307200	0	0	200	400	0	0	400	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|103|113|123|133|143|153|163	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1104	伐木场 Lv.4	蕴藏了大量木材资源	1	3	614400	0	200	400	200	0	0	330	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|104|114|124|134|144|154|164	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1105	伐木场 Lv.5	蕴藏了大量木材资源	1	3	1228800	0	400	100	0	0	0	67	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|105|115|125|135|145|155|165	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1106	伐木场 Lv.6	蕴藏了大量木材资源	1	3	2457600	100	0	0	0	0	0	5	1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006|106|116|126|136|146|156|166	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1201	采石场 Lv.1	蕴藏了大量石材资源	1	4	76800	0	0	0	0	200	400	580	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1202	采石场 Lv.2	蕴藏了大量石材资源	1	4	153600	0	0	0	100	300	100	470	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|102|112|122|132|142|152|162	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1203	采石场 Lv.3	蕴藏了大量石材资源	1	4	307200	0	0	200	400	0	0	400	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|103|113|123|133|143|153|163	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1204	采石场 Lv.4	蕴藏了大量石材资源	1	4	614400	0	200	400	200	0	0	330	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|104|114|124|134|144|154|164	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1205	采石场 Lv.5	蕴藏了大量石材资源	1	4	1228800	0	400	100	0	0	0	67	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|105|115|125|135|145|155|165	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1206	采石场 Lv.6	蕴藏了大量石材资源	1	4	2457600	100	0	0	0	0	0	5	1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006|106|116|126|136|146|156|166	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1301	铁矿场 Lv.1	蕴藏了大量生铁资源	1	5	76800	0	0	0	0	200	400	580	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1302	铁矿场 Lv.2	蕴藏了大量生铁资源	1	5	153600	0	0	0	100	300	100	470	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|102|112|122|132|142|152|162	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1303	铁矿场 Lv.3	蕴藏了大量生铁资源	1	5	307200	0	0	200	400	0	0	400	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|103|113|123|133|143|153|163	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1304	铁矿场 Lv.4	蕴藏了大量生铁资源	1	5	614400	0	200	400	200	0	0	330	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|104|114|124|134|144|154|164	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1305	铁矿场 Lv.5	蕴藏了大量生铁资源	1	5	1228800	0	400	100	0	0	0	67	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|105|115|125|135|145|155|165	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1306	铁矿场 Lv.6	蕴藏了大量生铁资源	1	5	2457600	100	0	0	0	0	0	5	1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006|106|116|126|136|146|156|166	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1401	银矿 Lv.1	蕴藏了大量白银	2	1	42000	0	0	0	0	200	400	450	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|101|111|121|131|141|151|161	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1402	银矿 Lv.2	蕴藏了大量白银	2	1	84000	0	0	0	100	300	100	380	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|102|112|122|132|142|152|162	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1403	银矿 Lv.3	蕴藏了大量白银	2	1	168000	0	0	200	400	0	0	320	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|103|113|123|133|143|153|163	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1404	银矿 Lv.4	蕴藏了大量白银	2	1	336000	0	200	400	200	0	0	280	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|104|114|124|134|144|154|164	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
1405	银矿 Lv.5	蕴藏了大量白银	2	1	672000	0	200	200	0	0	0	53	1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|105|115|125|135|145|155|165	300|300|300|300|300|300|300|300|300|300|300|300|100|100|100|100|100|100|100	1	60
