道具商店ID	公会商店常出售ID	公会商店可上架ID
normalSid	societyNormalSid	societySpecialSid
normalSid	societyNormalSid	societySpecialSid
INT	INT	INT
20001	30001	23301
20002	30002	23101
20003	30003	23201
20051	30004	23151
20052	30005	23001
20053	-1	23251
20101	-1	23051
20102	-1	24001
20103	-1	24051
20104	-1	20601
20151	-1	20101
20201	-1	20252
20251	-1	20051
20252	-1	20301
20253	-1	20353
20301	-1	20302
20302	-1	20251
20351	-1	20501
20352	-1	30006
20353	-1	30007
20354	-1	30008
20355	-1	30009
20401	-1	30010
20402	-1	20451
20403	-1	20201
20404	-1	20354
20451	-1	20351
20501	-1	22001
20502	-1	22005
20503	-1	22006
20551	-1	22007
20601	-1	21251
20651	-1	21252
20652	-1	-1
20653	-1	-1
20654	-1	-1
20701	-1	-1
20751	-1	-1
20801	-1	-1
20851	-1	-1
21001	-1	-1
21002	-1	-1
21003	-1	-1
21004	-1	-1
21005	-1	-1
21051	-1	-1
21052	-1	-1
21053	-1	-1
21054	-1	-1
21055	-1	-1
21101	-1	-1
21102	-1	-1
21103	-1	-1
21104	-1	-1
21105	-1	-1
21151	-1	-1
21152	-1	-1
21153	-1	-1
21154	-1	-1
21155	-1	-1
21201	-1	-1
21202	-1	-1
21203	-1	-1
21204	-1	-1
21205	-1	-1
21251	-1	-1
21252	-1	-1
21253	-1	-1
21254	-1	-1
21255	-1	-1
22001	-1	-1
22005	-1	-1
22006	-1	-1
22007	-1	-1
22008	-1	-1
22009	-1	-1
22010	-1	-1
22011	-1	-1
22051	-1	-1
22052	-1	-1
23001	-1	-1
23002	-1	-1
23003	-1	-1
23004	-1	-1
23005	-1	-1
23051	-1	-1
23052	-1	-1
23101	-1	-1
23102	-1	-1
23151	-1	-1
23152	-1	-1
13201	-1	-1
23251	-1	-1
23301	-1	-1
23302	-1	-1
24001	-1	-1
24002	-1	-1
24003	-1	-1
24004	-1	-1
24051	-1	-1
24052	-1	-1
24053	-1	-1
24054	-1	-1
24101	-1	-1
24102	-1	-1
24103	-1	-1
24104	-1	-1
24151	-1	-1
24152	-1	-1
24201	-1	-1
24202	-1	-1
24203	-1	-1
24203	-1	-1
24251	-1	-1
24252	-1	-1
24253	-1	-1
