ID	任务名称	作战人数	要求最低战斗力	作战时间(秒)	总战斗力分段(普通困难精英)	普通奖励资源012345	困难奖励资源012345	精英奖励资源012345
sid	name	mustPlayer	mustPower	cd	gradation	lowAwards	middleAwards	highAwards
sid	name	num	power	time	grade	normal	hard	elite
int	string	int	int	int	ints	ints	ints	ints
1001	山寨喽罗	4	100	1800	300|39300|52400	0|1000|1000|1000|1000|1000	0|1400|1400|1400|1400|1400	0|1800|1800|1800|1800|1800
1002	山寨巡守	4	16900	1800	67600|101400|135200	0|1500|1500|1500|1500|1500	0|2200|2200|2200|2200|2200	0|3000|3000|3000|3000|3000
1003	山寨精兵	4	30150	1800	120600|180900|241200	0|2600|2600|2600|2600|2600	0|4000|4000|4000|4000|4000	0|5300|5300|5300|5300|5300
1004	山寨头目	4	46000	1800	184000|276000|368000	0|4000|4000|4000|4000|4000	0|6000|6000|6000|6000|6000	0|8100|8100|8100|8100|8100
1005	邪教信徒	4	68200	1800	272800|409200|545600	0|6000|6000|6000|6000|6000	0|9000|9000|9000|9000|9000	0|11900|11900|11900|11900|11900
1006	邪教弟子	4	142650	1800	570600|855900|1141200	0|9400|9400|9400|9400|9400	0|14000|14000|14000|14000|14000	0|18700|18700|18700|18700|18700
1007	邪教死士	4	186300	1800	745200|1117800|1490400	0|10600|10600|10600|10600|10600	0|15900|15900|15900|15900|15900	0|21200|21200|21200|21200|21200
1008	邪教祭司	4	686700	1800	2746800|4120200|5493600	0|11600|11600|11600|11600|11600	0|17400|17400|17400|17400|17400	0|23200|23200|23200|23200|23200
1009	邪教头目	4	825850	1800	3303400|4955100|6606800	0|12800|12800|12800|12800|12800	0|19200|19200|19200|19200|19200	0|25500|25500|25500|25500|25500
1010	南国侍女	4	987000	1800	3948000|5922000|7896000	0|13900|13900|13900|13900|13900	0|20800|20800|20800|20800|20800	0|27800|27800|27800|27800|27800
1011	南国怪仆	4	1637850	1800	6551400|9827100|13102800	0|23000|23000|23000|23000|23000	0|34500|34500|34500|34500|34500	0|46100|46100|46100|46100|46100
1012	南国毒手	4	2058000	1800	8232000|12348000|16464000	0|28900|28900|28900|28900|28900	0|43400|43400|43400|43400|43400	0|57900|57900|57900|57900|57900
1013	南国蛊师	4	2720850	1800	10883400|16325100|21766800	0|38300|38300|38300|38300|38300	0|57400|57400|57400|57400|57400	0|76500|76500|76500|76500|76500
1014	叛军先锋	4	3394500	1800	13578000|20367000|27156000	0|42700|42700|42700|42700|42700	0|63600|63600|63600|63600|63600	0|85500|85500|85500|85500|85500
1015	叛军矛手	4	7416000	1800	29664000|44496000|59328000	0|46400|46400|46400|46400|46400	0|69500|69500|69500|69500|69500	0|92700|92700|92700|92700|92700
1016	叛军追兵	4	10912150	1800	43648600|65472900|87297200	0|68200|68200|68200|68200|68200	0|102300|102300|102300|102300|102300	0|136400|136400|136400|136400|136400
1017	叛军统领	4	15091950	1800	60367800|90551700|120735600	0|94300|94300|94300|94300|94300	0|141500|141500|141500|141500|141500	0|188600|188600|188600|188600|188600
1018	蛊心灵女	4	20095250	1800	80381000|120571500|160762000	0|125600|125600|125600|125600|125600	0|188400|188400|188400|188400|188400	0|251200|251200|251200|251200|251200
1019	蛊心邪童	4	27920700	1800	111682800|167524200|223365600	0|174500|174500|174500|174500|174500	0|261800|261800|261800|261800|261800	0|349000|349000|349000|349000|349000
1020	失心妖道	4	37577450	1800	150309800|225464700|300619600	0|234900|234900|234900|234900|234900	0|352300|352300|352300|352300|352300	0|469700|469700|469700|469700|469700
1021	梵咒邪僧	4	66394700	1800	265578800|398368200|531157600	0|301100|301100|301100|301100|301100	0|461600|461600|461600|461600|461600	0|602100|602100|602100|602100|602100
