特殊技能ID	技能名称	注释	图标	技能参数类型1	技能参数数值1(万分位)	技能参数类型2	技能参数数值2(万分位)	技能参数类型3	技能参数数值3(万分位)
sid	name			type1	value1	type2	value2	type3	value3
sid	name	desc	img	type1	value1	type2	value2	type3	value3
INT	string	string	string	INT	INT	INT	INT	INT	INT
20011	势如破竹 Ⅲ	军威已振，势如破竹！	srpz.png	41	3200	-1	-1	-1	-1
20012	铜筋铁骨 Ⅱ	铜筋铁骨，不灭金身！	mshc.png	43	3200	-1	-1	-1	-1
20013	披荆斩棘 Ⅰ	高歌猛进，披荆斩棘！	pjzj.png	1	1600	2	1600	3	1600
20014	兵贵神速	兵贵神速，日行千里！	bgss.png	45	2000	-1	-1	-1	-1
20021	势如破竹 Ⅲ	军威已振，势如破竹！	srpz.png	41	3200	-1	-1	-1	-1
20022	刀枪不入 Ⅱ	精兵铁甲，刀枪不入！	dqbr.png	42	2400	-1	-1	-1	-1
20023	五谷丰登	春华秋实，五谷丰登！	wgfd.png	110	2000	-1	-1	-1	-1
20031	披荆斩棘 Ⅲ	高歌猛进，披荆斩棘！	pjzj.png	1	3200	2	3200	3	3200
20032	势如破竹 Ⅱ	军威已振，势如破竹！	srpz.png	41	2400	-1	-1	-1	-1
20033	刀枪不入 Ⅰ	精兵铁甲，刀枪不入！	dqbr.png	42	1600	-1	-1	-1	-1
20034	师出有名	仁义之师，师出有名！	scym.png	130	1	-1	-1	-1	-1
20041	铜筋铁骨 Ⅲ	铜筋铁骨，不灭金身！	mshc.png	43	3200	-1	-1	-1	-1
20042	势如破竹 Ⅱ	军威已振，势如破竹！	srpz.png	41	2400	-1	-1	-1	-1
20043	披荆斩棘 Ⅰ	高歌猛进，披荆斩棘！	pjzj.png	1	1600	2	1600	3	1600
20044	千军万马	千军万马，所向披靡！	qjwm.png	302	2000	-1	-1	-1	-1
20051	金戈铁骑 Ⅲ	金戈铁马，逐鹿中原！	jgtj.png	21	3200	22	3200	23	3200
20052	势如破竹 Ⅱ	军威已振，势如破竹！	srpz.png	41	2400	-1	-1	-1	-1
20053	铜筋铁骨 Ⅰ	铜筋铁骨，不灭金身！	mshc.png	43	1600	-1	-1	-1	-1
20061	披荆斩棘 Ⅲ	高歌猛进，披荆斩棘！	pjzj.png	1	3200	2	3200	3	3200
20062	刀枪不入 Ⅱ	精兵铁甲，刀枪不入！	dqbr.png	42	2400	-1	-1	-1	-1
20063	铜筋铁骨 Ⅰ	铜筋铁骨，不灭金身！	mshc.png	43	1600	-1	-1	-1	-1
20071	金戈铁骑 Ⅲ	金戈铁马，逐鹿中原！	jgtj.png	21	3200	22	3200	23	3200
20072	刀枪不入 Ⅱ	精兵铁甲，刀枪不入！	dqbr.png	42	2400	-1	-1	-1	-1
20073	铜筋铁骨 Ⅰ	铜筋铁骨，不灭金身！	mshc.png	43	1600	-1	-1	-1	-1
20081	箭无虚发 Ⅲ	得心应手，箭无虚发！	jwxf.png	11	3200	12	3200	13	3200
20082	势如破竹 Ⅱ	军威已振，势如破竹！	srpz.png	41	2400	-1	-1	-1	-1
20083	铜筋铁骨 Ⅰ	铜筋铁骨，不灭金身！	mshc.png	43	1600	-1	-1	-1	-1
20091	铜筋铁骨 Ⅲ	铜筋铁骨，不灭金身！	mshc.png	43	3200	-1	-1	-1	-1
20092	刀枪不入 Ⅱ	精兵铁甲，刀枪不入！	dqbr.png	42	2400	-1	-1	-1	-1
20093	五谷丰登	春华秋实，五谷丰登！	wgfd.png	110	2000	-1	-1	-1	-1
20101	攻城略地 Ⅲ	攻城略地，纵横天下！	gcld.png	31	3200	32	3200	33	3200
