陷阱ID	部队类型	部队名称	部队图片	攻击	生命	防御	训练消耗资源123456	训练时间	维护消耗粮食	每个单位增加战力	克制哪个兵种	被哪个兵种克制	解锁属性ID	战斗星级	防御星级	生命星级	速度星级	解锁科技
sid	type	name		act	life	def	costs	cd	charge	point	abnegate		attriType					
sid	type	name	image	act	life	def	costs	cd	charge	point	abnegate	abnegated	attriType	attack	defense	life	speed	unlock
INT	INT	string	string	INT	INT	INT	ints	INT	INT	INT	INTS	INT	INT	INT	INT	INT	INT	INT
10001	5	砖墙	xianjing1.png	10	10	5	0|0|50|50|0|38	15	1	1	-1	4	-1	0	1	0	0	-1
10002	5	箭塔	xianjing2.png	20	20	10	0|5|100|100|0|75	30	2	2	2	4	502	1	1	1	0	21201
10003	5	地刺	xianjing3.png	20	20	10	0|5|100|100|0|75	30	2	2	3	4	501	1	1	1	0	21101
10004	5	滚木	xianjing4.png	20	20	10	0|5|100|100|0|75	30	2	2	1	4	503	1	1	1	0	21301
10005	5	火油	xianjing5.png	30	30	15	0|10|150|150|0|112	60	3	3	2	4	505	2	2	2	0	21701
10006	5	弩机	xianjing6.png	30	30	15	0|10|150|150|0|112	60	3	3	3	4	504	2	2	2	0	21601
10007	5	捕夹	xianjing7.png	30	30	15	0|10|150|150|0|112	60	3	3	1	4	506	2	2	2	0	21801
10008	5	荆棘丛	xianjing8.png	40	40	20	0|15|200|200|0|224	120	4	4	2|3	4	508	3	3	3	0	22001
10009	5	抛石机	xianjing9.png	40	40	20	0|15|200|200|0|224	120	4	4	1|3	4	507	3	3	3	0	21901
10010	5	机关镖	xianjing10.png	40	40	20	0|15|200|200|0|224	120	4	4	1|2	4	509	3	3	3	0	22101
10011	5	火箭弩	xianjing11.png	50	50	25	0|20|250|250|0|450	240	5	5	2	4	511	4	4	4	0	22301
10012	5	火石机	xianjing12.png	50	50	25	0|20|250|250|0|450	240	5	5	3	4	510	4	4	4	0	22201
10013	5	尖刺墙	xianjing13.png	50	50	25	0|20|250|250|0|450	240	5	5	1	4	512	4	4	4	0	22401
