id	名称	位置	cdType	属性id	道具ID	描述	提示	出售位置
sid	name	position	cdType	attrID	id	desc	hint	salePos
sid	name	position	cdType	attrID	id	desc	hint	salePos
INT	string	int	int	int	int	string	string	int
1	免战牌	1	8	0	23001	防止其他玩家对您进行攻击	使用免战牌可阻止敌人攻击您的城池！但如果您攻击或增援其他城池，免战牌增益将会被取消。在免战状态下，您只能提供资源帮助，或从野外资源点采集资源。	0
3	士气	0	0	41	23051	提升军队的攻击力	使用士气将提升军队的攻击力，对敌人造成更多伤害！	0
4	护盾	0	0	42	23101	提升军队的防御力	使用护盾将提升军队的防御力，降低我军在战斗中的伤亡！	0
5	兵符	0	0	302	23151	提升行军兵力上限	使用兵符将提升行军兵力上限，在兵力上碾压敌人！	0
6	修生养息	0	0	47	20401	降低军队的粮草消耗	使用修生养息来降低军队的粮草消耗！	0
7	反侦查令	1	9	0	23004	阻止敌军侦查您的城池	使用反侦查令来阻止敌军侦查您的城池！	0
8	经验丹	0	0	200	20105	提升武将获得的经验	使用经验丹来提升武将获得的经验（该增益不适用于通过道具获得的经验）！	0
9	瞒天过海	2	0	100	23201	使您的军队在受到侦查时显示为双倍数量	使用瞒天过海，将使您的军队在受到侦查时显示为双倍数量，令潜在攻击者望而却步！	0
10	采集大师	0	0	110	20451	提升军队在野外资源点的采集速度	使用采集大师，将提升军队在野外资源点的采集速度！	0
11	木材	0	0	103	30004	提升城池的木材产量	使用木材增益道具来提升城池的木材产量！您可以在联盟商店中购买木材增益道具！	1
12	粮草	0	0	102	30003	提升城池的粮草产量	使用粮草增益道具来提升城池的粮草产量！您可以在联盟商店中购买粮草增益道具！	1
13	石材	0	0	104	30001	提升城池的石材产量	使用石材增益道具来提升城池的石材产量！您可以在联盟商店中购买石材增益道具！	1
14	生铁	0	0	105	30002	提升城池的生铁产量	使用生铁增益道具来提升城池的生铁产量！您可以在联盟商店中购买生铁增益道具！	1
15	白银	0	0	101	30005	提升城池的白银产量	使用白银增益道具来提升城池的白银产量！您可以在联盟商店中购买白银增益道具！	1
