当前vip等级	当前等级最低积分	免费加速时间(秒)	粮草产量提升(万分位)	木材产量	石材产量	生铁产量	银两产量	勋章	vip任务奖励数量	日常任务奖励	联盟任务奖励	行军速度	制造速度	直接完成日常任务	开启每日活跃系统	直接完成联盟任务	士兵攻击力	士兵防御力	士兵血量	野外保护																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
level	points	award1	award2	award3	award4	award5	award6	award7	award8	award9	award10	award11	award12	award13	award14	award15	award16	award17	award18	award19																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
INT	INT	INT	INTS	INTS	INTS	INTS	INTS	STRING	INT	INT	INT	INTS	INTS	INT	INT	INT	INTS	INTS	INTS	INT																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										INT
0	0	0	0	0	0	0	0	-1	0	0	0	45|0	108|0	0	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
1	0	360	102|400	103|400	104|400	105|400	101|400	-1	1	0	0	45|0	108|0	0	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
2	100	420	102|500	103|500	104|500	105|500	101|500	-1	1	1	1	45|0	108|0	0	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
3	300	540	102|600	103|600	104|600	105|600	101|600	-1	1	1	1	45|0	108|0	0	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
4	800	660	102|700	103|700	104|700	105|700	101|700	-1	2	2	1	45|0	108|0	0	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
5	1600	780	102|800	103|800	104|800	105|800	101|800	-1	3	2	2	45|500	108|0	0	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
6	4000	900	102|900	103|900	104|900	105|900	101|900	-1	3	3	2	45|600	108|500	0	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
7	8000	1020	102|1000	103|1000	104|1000	105|1000	101|1000	-1	5	3	3	45|700	108|700	1	0	0	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
8	20000	1200	102|1200	103|1200	104|1200	105|1200	101|1200	-1	6	4	3	45|800	108|900	1	0	1	41|0	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
9	50000	1500	102|1400	103|1400	104|1400	105|1400	101|1400	-1	6	4	3	45|900	108|1100	1	0	1	41|1500	42|0	43|0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
10	99999	1800	102|1500	103|1500	104|1500	105|1500	101|1500	-1	7	5	3	45|1000	108|1300	1	0	1	41|1500	42|1500	43|1500	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
