副本组ID	背景图片	关卡1	关卡2	关卡3	关卡4	关卡5	关卡6	关卡7	关卡8	关卡9	关卡10	关卡11	关卡12	关卡13	关卡14	关卡15
sid																
sid	image	stage1	stage2	stage3	stage4	stage5	stage6	stage7	stage8	stage9	stage10	stage11	stage12	stage13	stage14	stage15
int	string	ints	ints	ints	ints	ints	ints	ints	ints	ints	ints	ints	ints	ints	ints	ints
101	hjzl.png	478|149	209|293	440|513	317|686	305|860	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0
102	hlgzz.png	180|113	429|199	284|423	474|643	460|818	114|738	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0
103	yzzz.png	250|114	142|234	396|192	168|442	230|712	404|838	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0
104	jdpdz.png	154|475	257|705	611|793	955|561	462|372	205|178	671|182	1026|106	0|0	0|0	0|0	0|0	0|0	0|0	0|0
105	wczz.png	451|101	146|284	558|329	330|430	549|578	773|720	903|865	956|600	1098|309	0|0	0|0	0|0	0|0	0|0	0|0
106	gdzz.png	925|881	1090|709	262|843	122|659	145|311	462|96	604|549	1045|374	1127|179	720|276	0|0	0|0	0|0	0|0	0|0
107	gdzz.png	925|881	1090|709	262|843	122|659	145|311	462|96	604|549	1045|374	1127|179	720|276	0|0	0|0	0|0	0|0	0|0
108	gdzz.png	925|881	1090|709	582|893	262|843	122|659	145|311	462|96	400|391	604|549	1045|374	1127|179	720|276	0|0	0|0	0|0
109	gdzz.png	925|881	1090|709	582|893	262|843	122|659	145|311	462|96	400|391	604|549	1045|374	1127|179	720|276	0|0	0|0	0|0
110	cbpzz.png	168|846	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	0|0	0|0	0|0
111	cbzz.png	1132|644	983|523	902|962	838|843	633|740	761|585	588|496	446|609	293|740	202|546	209|324	203|126	449|183	0|0	0|0
112	cbpzz.png	168|846	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0	0|0
113	cbpzz.png	168|846	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0	0|0
114	cbpzz.png	168|846	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0	0|0
115	cbpzz.png	168|846	379|758	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0
116	cbpzz.png	168|846	379|758	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0
117	cbpzz.png	168|846	379|758	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0
118	cbpzz.png	168|846	379|758	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0
119	cbpzz.png	168|846	379|758	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	0|0
120	cbpzz.png	168|846	379|758	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	1164|246
121	cbpzz.png	168|846	379|758	512|880	821|839	758|636	381|623	285|422	563|413	382|180	949|467	678|180	943|295	1041|103	549|78	1164|246
