通讯端口	类型值	返回码	系统提示	玩家提示	如何弹出(1不弹|2底部文本框|3确认框)	玩家提示标题
						
channel	type	result	server	client	show	title
int	int	int	string	string	int	string
0	0	-31	参数错误	错误1000031	3	系统错误
0	0	-32	消息接口错误(没有channel或者type)	错误1000032	3	系统错误
0	0	-20	消息来自尚未登录用户	错误1000020	3	系统错误
1	1	8	没有找到指定sid的建筑	不存在这个建筑	3	无法建造
1	1	5	建筑队列正在cd中	建筑队列正在cd中	3	无法建造
1	1	2	该类建筑已经超出建筑数量上限	该类建筑已经超出建筑数量上限	3	无法建造
1	1	13	建筑目标地块不合法（超出范围）	无法在这里修建建筑	3	无法建造
1	1	14	前置建筑等级未达到要求	前置建筑等级未达到要求	3	无法建造
1	1	6	生产资源不足	生产资源不足	2	-1
1	1	15	缺少升级需要的道具	缺少升级需要的道具	2	-1
1	1	0	添加建筑成功	建造建筑成功	1	-1
1	3	5	建筑队列正在cd中	建筑队列正在cd中	3	无法拆除
1	3	13	建筑目标地块不合法（超出范围或者该位置没有建筑）	无法在这里拆除建筑	3	无法拆除
1	3	16	目标建筑不可被拆除	此建筑不可拆除	3	无法拆除
1	3	0	成功拆除建筑	成功拆除建筑	2	-1
1	7	13	建筑目标地块不合法（超出范围或者该位置没有建筑）	无法在这里拆除建筑	3	无法拆除
1	7	16	目标建筑不可被拆除	此建筑不可拆除	3	无法拆除
1	7	28	没有足够的人民币	缺少拆除需要的钻石	3	无法拆除
1	7	15	没有拆除用的道具	缺少拆除需要的道具	3	无法拆除
1	7	0	成功拆除建筑	成功拆除建筑	2	-1
1	4	5	建筑队列正在cd中	建筑队列正在cd中	3	无法升级
1	4	13	建筑目标地块不合法（超出范围或者该位置没有建筑）	无法在这里进行升级建筑	3	无法升级
1	4	17	目标建筑已经升至最高级	目标建筑已经升至最高级	3	无法升级
1	4	14	前置建筑等级未达到要求	升级所需的前置建筑不满足条件	3	无法升级
1	4	6	生产资源不足	升级所需资源不足	3	无法升级
1	4	15	缺少升级需要的道具	升级需要的道具不足	3	无法升级
1	4	0	升级成功	升级成功	1	-1
1	6	13	建筑目标地块不合法（超出范围或者该位置没有建筑）	无法在这里进行升级建筑	3	无法升级
1	6	17	目标建筑已经升至最高级	目标建筑已经升至最高级	3	无法升级
1	6	14	前置建筑等级未达到要求	升级所需的前置建筑不满足条件	3	无法升级
1	6	28	没有足够的人民币	缺少升级需要的钻石	3	无法升级
1	6	0	升级成功	升级成功	1	-1
2	1	1	领取任务奖励失败，指定sid的任务不可领取或者没有找到（主线支线任务）	无法领取该任务奖励	3	领取失败
2	1	0	领取任务奖励成功	领取任务奖励成功	1	-1
2	2	0	获得所有任务成功	获得所有任务成功	1	-1
2	3	5	指定类型的随机任务正在cd中，正在完成一个该类型的随机任务	该类型任务正在执行中	3	无法开始任务
2	3	1	没有找到指定id的随机任务	无法执行不存在的任务	3	无法开始任务
2	3	0	随机任务开始	随机任务开始	1	-1
2	4	28	刷新随机任务，人民币不足	钻石不足，无法进行刷新	3	刷新失败
2	4	15	刷新随机任务，道具不足	道具不足，无法进行刷新	3	刷新失败
2	4	1	没有找到指定类型的随机任务	无刷刷新当前类型的任务	3	刷新失败
2	4	0	成功刷新随机任务	成功刷新随机任务	1	-1
2	5	1	vip直接领取任务奖励，没有找到指定的任务	无法领取不存在的任务	3	领取失败
2	5	0	vip直接领取任务奖励成功	Vip自动领取任务奖励成功	2	-1
2	6	1	领取随机任务奖励，尚在cd中	任务未完成，无法领取奖励	3	领取失败
2	6	0	领取随机任务奖励成功	随机任务奖励领取成功	2	-1
5	1	2	训练士兵，士兵超出最大限制	已达到当前可容纳的兵力上限，无法训练	3	训练失败
5	1	4	训练士兵，超出一次可以训练的最大数量	已超出兵营当前等级可训练的最大数量，无法训练	3	训练失败
5	1	5	正在cd中	当前已有士兵正在训练中，无法训练	3	训练失败
5	1	1	没找到指定sid的兵种	无法训练不存在的兵种	3	训练失败
5	1	6	生产资源不足	资源不足，无法进行训练	3	训练失败
5	1	0	成功开始生产	开始训练	2	-1
5	9	2	训练士兵，士兵超出最大限制	已达到当前可容纳的兵力上限，无法训练	3	训练失败
5	9	4	训练士兵，超出一次可以训练的最大数量	已超出兵营当前等级可训练的最大数量，无法训练	3	训练失败
5	9	28	人民币不足	没有足够的钻石，无法训练	3	训练失败
5	9	1	没找到指定sid的兵种	无法训练不存在的兵种	3	训练失败
5	9	0	金币生产，成功开始生产	训练成功	2	-1
5	5	3	要解散的士兵数量不足	超过当前已有士兵数量，解散失败	3	无法解散
5	5	1	没有找到指定类型的士兵	无法解锁这个类别的兵种	3	无法解散
5	5	0	成功解散指定类型的士兵	成功解散	2	-1
5	2	0	成功获取士兵信息	成功获取士兵信息	1	-1
5	7	1	上传要救治的士兵数量错误	伤病数量错误，无法治疗	3	治疗失败
5	7	2	要救治的伤病，超出受伤士兵的上限	伤病数量超出医馆可治疗上限，无法医治	3	治疗失败
5	7	5	救治伤病cd中	有伤病正在治疗中，无法医治	3	治疗失败
5	7	6	救治伤病资源不足	治疗伤病所需资源不足，无法医治	3	治疗失败
5	7	0	成功救治	治疗成功	2	-1
5	11	1	上传要救治的士兵数量错误	伤病数量错误，无法治疗	3	治疗失败
5	11	2	要救治的伤病，超出受伤士兵的上限	伤病数量超出医馆可治疗上限，无法医治	3	治疗失败
5	11	28	救治伤病，人民币不足	钻石不足，无法医治	3	治疗失败
5	11	0	人民币救治伤病成功	治疗成功	2	-1
5	3	2	成产陷阱超出上限	数量超出城墙可容纳上限，无法生产	3	建造失败
5	3	1	没有找到指定sid的陷阱	无法生产不存在的陷阱	3	建造失败
5	3	9	尚未学习该陷阱的科技	需要学习相应科技才能生产这个陷阱	3	建造失败
5	3	5	生产陷阱尚在cd中	当前有陷阱正在建造中	3	建造失败
5	3	6	生产资源不足	制造陷阱所需的资源不足	3	建造失败
5	3	0	陷阱生产成功	开始建造陷阱	2	-1
5	10	2	成产陷阱超出上限	数量超出城墙可容纳上限，无法生产	3	建造失败
5	10	1	没有找到指定sid的陷阱	无法生产不存在的陷阱	3	建造失败
5	10	9	尚未学习该陷阱的科技	需要学习相应科技才能生产这个陷阱	3	建造失败
5	10	28	生产陷阱，人民币不足	钻石不足，无法建造	2	-1
5	10	0	人民币生产陷阱成功	成功建造陷阱	2	-1
5	6	3	要求解散的陷阱数量不足	超出当前已有的陷阱数量，销毁失败	3	摧毁失败
5	6	0	解散陷阱成功	成功销毁陷阱	2	-1
5	4	0	获得陷阱成功	获得陷阱成功	1	-1
5	8	0	获取本人的部队信息成功	获取本人的部队信息成功	1	-1
6	1	0	获取地图上信息成功	获取地图上信息成功	1	-1
6	2	61	英雄不在城内，不能出战	英雄不再城池内，无法出战	3	无法出兵
6	2	43	派兵的士兵数量小于0	出兵数量必须大于0个	3	无法出兵
6	2	13	前往的目标不可被占领	出兵目的地不可被占领，无法出兵	3	无法出兵
6	2	3	城内士兵不足	士兵数量不足，无法出兵	3	无法出兵
6	2	45	出兵队列已满	达到当前行军队伍数量上限，无法继续出兵	3	无法出兵
6	2	2	超出单只部队士兵上限	出兵数量超出单只部队上限，无法出兵	3	无法出兵
6	2	62	目标太远，行军超过1小时	目标太远，只能对行军时间1小时内的目标出兵	3	无法出兵
6	2	0	出兵占领	出兵成功	1	-1
6	3	61	英雄不在城内，不能出战	英雄不再城池内，无法出战	3	无法出兵
6	3	43	派兵的士兵数量小于0	出兵数量必须大于0个	3	无法出兵
6	3	13	前往的目标不可被攻击	出兵目的地不可被攻击，无法出兵	3	无法出兵
6	3	5	目标正在被保护状态下	目标开启免战牌，无法对其出兵	3	无法出兵
6	3	26	不能攻击同工会的目标	不能攻击同联盟的友军目标	3	无法出兵
6	3	59	不能攻击自己的野外部队	不能对自己的部队出兵	3	无法出兵
6	3	3	城内士兵不足	士兵数量不足，无法出兵	3	无法出兵
6	3	45	出兵队列已满	达到当前行军队伍数量上限，无法继续出兵	3	无法出兵
6	3	2	超出单只部队士兵上限	出兵数量超出单只部队上限，无法出兵	3	无法出兵
